Asus ROG Zephyrus G14,1449, Asus
Bose QuietComfort 35 II,299, Bose
Canon EOS R5,3899, Canon
Dell XPS 13,999, Dell
Dyson V11 Torque Drive,599, Dyson
Fitbit Charge 4,149, Fitbit
Garmin Fenix 6,599, Garmin
GoPro HERO9 Black,399, GoPro
Google Pixel 5,699, Google
Kindle Oasis,249, Amazon
LG OLED55CXPUA,1499, LG
MacBook Air,999, Apple
Microsoft Surface Pro 7,749, Microsoft
Nintendo Switch,299, Nintendo
Nvidia RTX 3080,699, Nvidia
PlayStation 5,499, Sony
Samsung Galaxy S21,799, Samsung
Sony WH-1000XM4,349, Sony
Tesla Model 3 Standard Range Plus,39990, Tesla
